1,0.0004 
2,0.00088 
3,0.00382 
4,0.00351 
5,0.00293 
6,0.00161 
7,0.00349 
8,0.00349 
9,0.00441 
10,0.00469 
11,0.00331 
12,0.00286 
13,0.00724 
14,0.00604 
15,0.00664 
16,0.00634 
17,0.00649 
18,0.00324 
19,0.00645 
20,0.00459 
21,0.00694 
22,0.00347 
23,0.00694 
24,0.00347 
25,0.00535 
26,0.01914 
27,0.01089 
28,0.01446 
29,0.12044 
30,0.06133 
31,0.06133 
32,0.06798 
33,0.07038 
34,0.07038 
35,0.05669 
36,0.05734 
37,0.04524 
38,0.04524 
39,0.02935 
40,0.02935 
41,0.02935 
42,0.02935 
43,0.05113 
44,0.02556 
45,0.00852 
46,0.01136 
47,0.02711 
48,0.02711 
49,0.02175 
50,0.00725 
51,0.02382 
52,0.00794 
53,0.03794 
54,0.00949 
55,0.02158 
56,0.00719 
57,0.00862 
58,0.03797 
59,0.01266 
60,0.03797 
61,0.01266 
62,0.03797 
63,0.01266 
64,0.03797 
65,0.01266 
66,0.01055 
67,0.03278 
68,0.00819 
69,0.0302 
70,0.00755 
71,0.03468 
72,0.01156 
73,0.01447 
74,0.00482 
75,0.01423 
76,0.00356 
77,0.01564 
78,0.00391 
79,0.01182 
80,0.00591 
81,0.00302 
82,0.00101 
83,0.003 
84,0.00453 
85,0.00226 
86,0.00302 
87,0.00101 
88,0.0005 
89,0.00177 
90,0.00177 
91,0.00067 
92,0.00235 
93,1.0 


